Company,PN,Whse,Nomenclature,Cost,Retail,Type,Weight,Units,AltPN,Code,Vendor,Date Updated,Vendor PartID,Cost Change percentage,Status
01,2E01000040,01,4 GEM GRVD SHORT RAD ELL,13.55,0.00,26,6.57,EA,A,,CORE MAIN,,,,
01,2E01000050,01,5 GEM GRVD SHORT RAD ELL,0.00,0.00,26,11.9,EA,A,,CORE MAIN,,,,
01,2E01000060,01,6 GEM GRVD SHORT RAD ELL,33.23,0.00,26,14.5,EA,A,,CORE MAIN,,,,
01,2E010000A0,01,10 GEM GRVD SHORT RAD ELL,0.00,0.00,26,49,EA,A,,CORE MAIN,,,,
01,2E01D00015,01,1 1/2 GEM GRVD DRAIN ELL,61.12,0.00,26,2.13,EA,A,,CORE MAIN,,,,
01,2E01D00030,01,3 GEM GRVD DRAIN ELL,39.74,0.00,26,5.6,EA,A,,CORE MAIN,,,,
01,2E01D00040,01,4 GEM GRVD DRAIN ELL,44.82,0.00,26,8.8,EA,A,,CORE MAIN,,,,
01,2E01D00060,01,6 GEM GRVD DRAIN ELL,79.85,0.00,26,18.77,EA,A,,CORE MAIN,,,,
01,2E01FR0040,01,4 GEM GRVD LONG RAD ELL,20.06,0.00,26,5.78,EA,A,,CORE MAIN,,,,
01,2E02000025,01,2 1/2 GEM GRVD 45 ELL,6.46,0.00,26,1.8,EA,A,,CORE MAIN,,,,
01,2E02000030,01,3 GEM GRVD 45 ELL,10.98,0.00,26,2.79,EA,A,,CORE MAIN,,,,
01,2E02000060,01,6 GEM GRVD 45 ELL,33.65,0.00,26,10.38,EA,A,,CORE MAIN,,,,
01,2E02000080,01,8 GEM GRVD 45 ELL,73.74,0.00,26,17.9,EA,A,,CORE MAIN,,,,
01,2E020000A0,01,10 GEM GRVD 45 ELL,348.35,0.00,26,30,EA,A,,CORE MAIN,,,,
01,2E02100012,01,1 1/4 GEM GRVD 11 1/4 ELL,39.17,0.00,26,0.5,EA,A,,CORE MAIN,,,,
01,2E02100050,01,5 GEM GRVD 11 1/4 ELL,0.00,0.00,26,5,EA,A,,CORE MAIN,,,,
01,2E021000A0,01,10 GEM GRVD 11 1/4 ELL,0.00,0.00,26,14.5,EA,A,,CORE MAIN,,,,
01,2E021000C0,01,12 GEM GRVD 11 1/4 ELL,0.00,0.00,26,29.3,EA,A,,CORE MAIN,,,,
01,2E02200012,01,1 1/4 GEM GRVD 22 1/2 ELL,0.00,0.00,26,0.8,EA,A,,CORE MAIN,,,,
01,2E02200015,01,1 1/2 GEM GRVD 22 1/2 ELL,19.59,0.00,26,1,EA,A,,CORE MAIN,,,,
01,2E02200020,01,2 GEM GRVD 22 1/2 ELL,20.99,0.00,26,1.6,EA,A,,CORE MAIN,,8740021000960,,
01,2E02200025,01,2 1/2 GEM GRVD 22 1/2 ELL,19.59,0.00,26,2.1,EA,A,,CORE MAIN,,,,
01,2E02200080,01,8 GEM GRVD 22 1/2 ELL,222.26,0.00,26,17.9,EA,A,,CORE MAIN,,,,
01,2E022000C0,01,12 GEM GRVD 22 1/2 ELL,0.00,0.00,26,40.4,EA,A,,CORE MAIN,,,,
01,2E03000040,01,4 GEM GRVD SHORT RAD TEE,23.48,0.00,26,9.92,EA,A,,CORE MAIN,,,,
01,2E03000060,01,6 GEM GRVD SHORT RAD TEE,54.27,0.00,26,22,EA,A,,CORE MAIN,,,,
01,2E03000080,01,8 GEM GRVD SHORT RAD TEE,106.35,0.00,26,42.1,EA,A,,CORE MAIN,,,,
01,2E030000A0,01,10 GEM GRVD SHORT RAD TEE,326.15,0.00,26,69,EA,A,,CORE MAIN,,,,
01,2E030000C0,01,12 GEM GRVD SHORT RAD TEE,0.00,0.00,26,91,EA,A,,CORE MAIN,,870890039969,,
01,2E03MS1205,01,1 1/4X 1/2 GEM THREADED MECH TEE,0.00,0.00,26,0.64,EA,A,,CORE MAIN,,870890123151,,
01,2E03MS1207,01,1 1/4X 3/4 GEM THREADED MECH TEE,0.00,0.00,26,0.87,EA,A,,CORE MAIN,,870890123169,,
01,2E03MS1210,01,1 1/4X 1 GEM THREADED MECH TEE,0.00,0.00,26,0.97,EA,A,,CORE MAIN,,870890123177,,
01,2E03MS1510,01,1 1/2X 1 GEM THREADED MECH TEE,0.00,0.00,26,0.96,EA,A,,CORE MAIN,,870890123201,,
01,00001DB100,01,"10"" SCH 10 PIPE",43.20,0.00,00,0,FT,A,,ETNA,8/06/2025,18771,,
01,5B0467035U,01,VK467 White 175 degree upright,17.51,0.00,50,0.26,EA,A,,VIKING,5/14/2025,19154MD/W,,
01,4GALVTHD90,01,"4"" GALV. THRD 90",52.00,0.00,12,0.26,EA,A,,ETNA,8/25/2025,53780,,
01,38HOSECLMP,01,3/8 HOSE CLAMP,1.85,0.00,50,0.26,EA,A,,ETNA,30/11/2025,2560,,
01,FDCGAL114X3,01,1 1/4 X 3 GALV TOE,60,0.00,88,0.26,EA,A,,ETNA,,,,
01,40GP0000A0,01,"10"" FLANGE PACK",54.72,0.00,65,0,EA ,A,,ARGCO,,,,
01,26F90000C0,01,12 SPLIT GRVD FLANGE ADAPTER,415.71,0.00,20,13.9,EA ,A,,ARGCO,,7010637,,
01,26F9000040,01,4 SPLIT GRVD FLANGE ADAPTER,42.91,0.00,20,6.5,EA ,A,,ARGCO,,7010632,,
01,26I1000010,01,"1""IGS GRVD 90 VIC 101",8.96,0.00,20,0,EA,A,,ETNA,30/11/2025,474595,,
01,26F9000050,01,5 SPLIT GRVD FLANGE ADAPTER,61.08,0.00,20,8.3,EA ,A,,ARGCO,,7010633,,
01,26F9000060,01,6 SPLIT GRVD FLANGE ADAPTER,63.04,0.00,20,9,EA ,A,,ARGCO,,7010634,,
01,26F9000080,01,8 SPLIT GRVD FLANGE ADAPTER,126.22,0.00,20,13.9,EA ,A,,ARGCO,,7010635,,
